"RV56: DEATHS by Year, Cause of death by ICD-10, Sex and Age group",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Age groups total,0,1,2,3,4,0-4,1-4,5-9,10-14,0-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,15-49,50-54,55-59,60-64,15-64,65 and older,65-69,70-74,75-79,80-84,85 and older,85-89,90-94,95-99,100 and older,Age unknown
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,....exposure to excessive natural cold (X31),Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,....accidental poisoning (X40-X49),Males and females,352,0,1,0,0,0,1,1,0,0,1,2,26,14,22,28,41,52,185,56,35,33,309,27,13,6,4,2,2,..,..,..,..,15
,,Males,281,0,0,0,0,0,0,0,0,0,0,2,23,14,17,20,35,44,155,44,26,22,247,21,11,5,3,0,2,..,..,..,..,13
,,Females,71,0,1,0,0,0,1,1,0,0,1,0,3,0,5,8,6,8,30,12,9,11,62,6,2,1,1,2,0,..,..,..,..,2
,......accidental poisoning by alcohol (X45),Males and females,280,0,0,0,0,0,0,0,0,0,0,0,7,7,16,25,36,45,136,52,31,27,246,20,11,5,4,0,0,..,..,..,..,14
,,Males,218,0,0,0,0,0,0,0,0,0,0,0,7,7,13,17,30,37,111,40,22,17,190,16,9,4,3,0,0,..,..,..,..,12
,,Females,62,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,6,8,25,12,9,10,56,4,2,1,1,0,0,..,..,..,..,2
,..suicide (X60-X84),Males and females,377,0,0,0,0,0,0,0,0,1,1,18,18,30,19,23,51,52,211,32,33,28,304,72,21,22,14,10,5,..,..,..,..,0
,,Males,289,0,0,0,0,0,0,0,0,0,0,13,17,22,16,18,45,46,177,27,27,21,252,37,10,8,11,5,3,..,..,..,..,0
,,Females,88,0,0,0,0,0,0,0,0,1,1,5,1,8,3,5,6,6,34,5,6,7,52,35,11,14,3,5,2,..,..,..,..,0
,..homicide (X85-Y09),Males and females,190,2,0,0,0,0,2,0,2,0,4,7,10,21,19,15,22,21,115,16,13,14,158,17,8,4,0,1,4,..,..,..,..,11
,,Males,156,1,0,0,0,0,1,0,2,0,3,6,7,18,18,14,19,14,96,14,11,13,134,12,7,2,0,1,2,..,..,..,..,7
,,Females,34,1,0,0,0,0,1,0,0,0,1,1,3,3,1,1,3,7,19,2,2,1,24,5,1,2,0,0,2,..,..,..,..,4
,..event of undermined intent (Y30-Y34),Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2001,All causes,Males and females,18516,111,14,4,5,4,138,27,26,32,196,80,148,143,205,344,528,849,2297,1022,1133,1633,6085,12097,1968,2464,2450,1896,3319,..,..,..,..,138
,,Males,9527,65,7,3,2,0,77,12,15,23,115,62,120,118,157,261,413,628,1759,717,771,1139,4386,4911,1217,1354,973,608,759,..,..,..,..,115
,,Females,8989,46,7,1,3,4,61,15,11,9,81,18,28,25,48,83,115,221,538,305,362,494,1699,7186,751,1110,1477,1288,2560,..,..,..,..,23
,Infectious and parasitic diseases (A00-B99),Males and females,145,6,0,1,0,0,7,1,0,0,7,1,4,3,4,12,9,19,52,10,11,9,82,53,15,13,15,6,4,..,..,..,..,3
,,Males,102,5,0,0,0,0,5,0,0,0,5,1,4,2,3,8,7,16,41,9,7,8,65,29,10,10,7,2,0,..,..,..,..,3
,,Females,43,1,0,1,0,0,2,1,0,0,2,0,0,1,1,4,2,3,11,1,4,1,17,24,5,3,8,4,4,..,..,..,..,0
,"..tuberculosis (A15-A19, B90)",Males and females,99,0,0,0,0,0,0,0,0,0,0,0,2,1,2,10,8,18,41,9,7,8,65,31,10,8,9,1,3,..,..,..,..,3
,,Males,78,0,0,0,0,0,0,0,0,0,0,0,2,1,1,8,6,15,33,8,3,8,52,23,8,8,6,1,0,..,..,..,..,3
,,Females,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,8,1,4,0,13,8,2,0,3,0,3,..,..,..,..,0
,..meningococcal infection (A39),Males and females,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,..,..,..,..,0
,,Males,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,0
,,Females,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,..,..,..,..,0
,..sepsis (A40-A41),Males and females,14,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,2,1,4,8,1,2,1,4,0,..,..,..,..,0
,,Males,7,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,3,2,1,0,0,1,0,..,..,..,..,0
,,Females,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,2,1,3,0,..,..,..,..,0
,..viral hepatitis(B20-B24),Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,..HIV-disease (B20-B24),Males and females,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,0,0,0,3,0,0,0,0,0,0,..,..,..,..,0
,,Males,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,0,0,0,3,0,0,0,0,0,0,..,..,..,..,0
,,Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,0
,Neoplasms (C00-D48),Males and females,3332,2,1,0,0,2,5,3,3,8,16,6,6,9,15,42,54,116,248,223,294,448,1213,2103,546,634,473,235,215,..,..,..,..,0
,,Males,1807,2,0,0,0,0,2,0,2,4,8,4,2,4,5,17,27,62,121,126,173,279,699,1100,341,359,222,97,81,..,..,..,..,0
,,Females,1525,0,1,0,0,2,3,3,1,4,8,2,4,5,10,25,27,54,127,97,121,169,514,1003,205,275,251,138,134,..,..,..,..,0
,..malignant neoplasms (C00-C97),Males and females,3302,2,1,0,0,2,5,3,3,8,16,6,6,9,15,42,53,115,246,223,292,443,1204,2082,538,629,470,231,214,..,..,..,..,0
,,Males,1796,2,0,0,0,0,2,0,2,4,8,4,2,4,5,17,26,62,120,126,173,276,695,1093,338,358,220,96,81,..,..,..,..,0
,,Females,1506,0,1,0,0,2,3,3,1,4,8,2,4,5,10,25,27,53,126,97,119,167,509,989,200,271,250,135,133,..,..,..,..,0
,"....malignant neoplasm of lip, oral cavity and pharynx (C00-C14)",Males and females,119,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,6,9,19,19,25,72,46,17,16,1,6,6,..,..,..,..,0
,,Males,96,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,6,8,17,16,21,62,33,15,12,1,3,2,..,..,..,..,0
,,Females,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,4,10,13,2,4,0,3,4,..,..,..,..,0
,....malignant neoplasm of oesophagus (C15),Males and females,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7,7,7,6,27,25,12,6,3,1,3,..,..,..,..,0
,,Males,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,7,6,5,24,22,10,6,3,0,3,..,..,..,..,0
,,Females,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,3,3,2,0,0,1,0,..,..,..,..,0
,....malignant neoplasm of stomach (C16),Males and females,336,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,7,10,25,31,29,43,128,208,52,71,48,20,17,..,..,..,..,0
,,Males,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,11,21,18,32,82,109,35,41,19,7,7,..,..,..,..,0
,,Females,145,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,2,5,14,10,11,11,46,99,17,30,29,13,10,..,..,..,..,0
,"....malignant neoplasm of colon and rectosigmoid junction (C18, C19)",Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,......malignant neoplasm of colon (C18),Males and females,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,7,7,11,28,53,162,30,49,37,26,20,..,..,..,..,0
,,Males,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,6,16,30,65,18,19,13,7,8,..,..,..,..,0
,,Females,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,3,5,12,23,97,12,30,24,19,12,..,..,..,..,0
,......malignant neoplasm of colon and rectosigmoid junction (C19),Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,"....malignant neoplasm of rectum and anus (C20, C21)",Males and females,146,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,7,10,11,11,21,63,108,13,24,24,16,16,..,..,..,..,0
,,Males,76,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,5,6,7,11,34,57,9,14,11,8,5,..,..,..,..,0
,,Females,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,5,5,4,10,29,51,4,10,13,8,11,..,..,..,..,0
,....malignant neoplasm of liver and intrahepatic bile ducts (C22),Males and females,79,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,2,2,5,3,16,26,52,12,11,20,5,4,..,..,..,..,0
,,Males,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1,9,15,27,7,7,8,3,2,..,..,..,..,0
,,Females,37,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,2,2,7,11,25,5,4,12,2,2,..,..,..,..,0
,....malignant neoplasm of pancreas (C25),Males and females,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8,13,10,15,24,62,122,33,38,25,14,12,..,..,..,..,0
,,Males,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,12,7,10,16,45,53,21,19,7,5,1,..,..,..,..,0
,,Females,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,8,17,69,12,19,18,9,11,..,..,..,..,0
,....malignant neoplasms of respiratory organs (C30-39),Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,"......malignant neoplasm of larynx, trachea, bronchus and lung (C32-C34)",Males and females,678,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,17,28,38,78,106,250,428,127,148,99,35,19,..,..,..,..,0
,,Males,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,14,23,31,67,88,209,342,114,120,74,24,10,..,..,..,..,0
,,Females,127,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,5,7,11,18,41,86,13,28,25,11,9,..,..,..,..,0
,....malignant melanoma of skin (C43),Males and females,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,6,5,3,18,18,5,5,0,3,5,..,..,..,..,0
,,Males,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,4,1,2,9,8,4,2,0,1,1,..,..,..,..,0
,,Females,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,4,1,9,10,1,3,0,2,4,..,..,..,..,0
,....malignant neoplasm of breast (C50),Males and females,261,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,11,14,42,21,36,25,124,137,31,37,31,19,19,..,..,..,..,0
,,Males,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,3,..,..,..,..,0
,,Females,257,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,11,14,42,21,36,25,124,133,30,37,31,19,16,..,..,..,..,0
,....malignant neoplasm of cervix uteri (C53),Males and females,59,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,4,5,15,8,2,8,33,26,6,7,6,2,5,..,..,..,..,0
,,Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,0
,,Females,59,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,4,5,15,8,2,8,33,26,6,7,6,2,5,..,..,..,..,0
,"....malignant neoplasm of other parts of uterus (C54, C55)",Males and females,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,8,7,19,44,7,18,10,3,6,..,..,..,..,0
,,Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,0
,,Females,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,8,7,19,44,7,18,10,3,6,..,..,..,..,0
,....malignant neoplasm of ovary (C56),Males and females,123,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,9,11,10,7,16,44,79,26,18,15,8,12,..,..,..,..,0
,,Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,0
,,Females,123,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,9,11,10,7,16,44,79,26,18,15,8,12,..,..,..,..,0
,....malignant neoplasm of prostate (C61),Males and females,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,13,141,27,40,35,18,21,..,..,..,..,0
,,Males,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,13,141,27,40,35,18,21,..,..,..,..,0
,,Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,0
,....malignant neopsasm of kidney (C64),Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,....malignant neoplasm of bladder (C67),Males and females,69,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,7,12,57,9,17,11,6,14,..,..,..,..,0
,,Males,47,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,5,10,37,7,10,10,2,8,..,..,..,..,0
,,Females,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,20,2,7,1,4,6,..,..,..,..,0
,....malignant neoplasms of lymphoid/haemotopoietic tissue (C81-C96),Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,......leukemia (C91-C95),Males and females,106,1,0,0,0,1,2,1,1,3,6,0,1,1,1,3,1,0,7,7,2,11,27,73,19,17,22,9,6,..,..,..,..,0
,,Males,43,1,0,0,0,0,1,0,1,2,4,0,0,0,1,2,0,0,3,2,1,6,12,27,9,8,8,1,1,..,..,..,..,0
,,Females,63,0,0,0,0,1,1,1,0,1,2,0,1,1,0,1,1,0,4,5,1,5,15,46,10,9,14,8,5,..,..,..,..,0
,"Endocrine, nutritional and metabolic diseases (E00-E90)",Males and females,177,0,0,0,0,0,0,0,0,0,0,0,2,2,0,6,4,8,22,11,22,17,72,105,22,27,33,16,7,..,..,..,..,0
,,Males,65,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,4,1,12,8,6,8,34,31,7,12,7,3,2,..,..,..,..,0
,,Females,112,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,7,10,3,16,9,38,74,15,15,26,13,5,..,..,..,..,0
,..diabetes mellitus (E10-E14),Males and females,159,0,0,0,0,0,0,0,0,0,0,0,1,2,0,6,4,6,19,7,19,15,60,99,20,27,30,15,7,..,..,..,..,0
,,Males,59,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,4,1,12,5,6,8,31,28,6,12,6,2,2,..,..,..,..,0
,,Females,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,7,2,13,7,29,71,14,15,24,13,5,..,..,..,..,0
,Diseases of the blood and blood-forming organs (D50-D89),Males and females,15,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,3,9,1,3,1,2,2,..,..,..,..,0
,,Males,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,0,1,0,1,1,..,..,..,..,0
,,Females,9,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,1,1,1,..,..,..,..,0
,..anaemia (D50-D64),Males and females,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,0,1,1,1,..,..,..,..,0
,,Males,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,..,..,..,..,0
,,Females,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,1,1,..,..,..,..,0
,"Mental, behavioural disorders (F00-F99)",Males and females,65,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,9,14,34,11,6,6,57,8,5,2,1,0,0,..,..,..,..,0
,,Males,44,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,6,8,22,8,5,5,40,4,3,0,1,0,0,..,..,..,..,0
,,Females,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,6,12,3,1,1,17,4,2,2,0,0,0,..,..,..,..,0
,..mental and behavioural disorders due to use of alcohol (F10),Males and females,62,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,9,14,31,11,6,6,54,8,5,2,1,0,0,..,..,..,..,0
,,Males,42,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,6,8,20,8,5,5,38,4,3,0,1,0,0,..,..,..,..,0
,,Females,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,6,11,3,1,1,16,4,2,2,0,0,0,..,..,..,..,0
,"..drug dependence and toxicomania (F11-F16, F18, F19)",Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Diseases of the nervous system and sense organs (G00-H95),Males and females,233,5,4,0,0,0,9,4,3,0,12,3,4,3,10,7,9,26,62,19,22,20,123,96,26,26,22,10,12,..,..,..,..,2
,,Males,137,3,3,0,0,0,6,3,1,0,7,3,4,2,7,6,6,17,45,12,17,15,89,40,9,13,9,3,6,..,..,..,..,1
,,Females,96,2,1,0,0,0,3,1,2,0,5,0,0,1,3,1,3,9,17,7,5,5,34,56,17,13,13,7,6,..,..,..,..,1
,..meningitis (G00-G03),Males and females,14,1,1,0,0,0,2,1,0,0,2,1,1,0,2,0,1,0,5,1,2,1,9,3,0,2,0,1,0,..,..,..,..,0
,,Males,8,1,1,0,0,0,2,1,0,0,2,1,1,0,1,0,0,0,3,1,1,0,5,1,0,1,0,0,0,..,..,..,..,0
,,Females,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,1,4,2,0,1,0,1,0,..,..,..,..,0
,Diseases of the circulatory system (I00-I99),Males and females,9924,1,1,0,0,0,2,1,0,1,3,2,4,10,20,39,93,212,380,344,413,747,1884,8023,1046,1468,1634,1377,2498,..,..,..,..,14
,,Males,4396,0,0,0,0,0,0,0,0,0,0,2,3,8,10,28,72,160,283,262,296,543,1384,2999,646,788,599,428,538,..,..,..,..,13
,,Females,5528,1,1,0,0,0,2,1,0,1,3,0,1,2,10,11,21,52,97,82,117,204,500,5024,400,680,1035,949,1960,..,..,..,..,1
,..chronic rheumatic heart diseases (I05-I09),Males and females,66,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,8,8,7,10,33,33,13,6,11,1,2,..,..,..,..,0
,,Males,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,6,3,1,7,17,7,3,3,1,0,0,..,..,..,..,0
,,Females,42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,5,6,3,16,26,10,3,10,1,2,..,..,..,..,0
,..hypertensive diseases (I10-I15),Males and females,345,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,10,15,23,27,39,104,240,48,61,55,32,44,..,..,..,..,1
,,Males,150,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,7,10,14,16,28,68,81,21,31,20,5,4,..,..,..,..,1
,,Females,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,9,11,11,36,159,27,30,35,27,40,..,..,..,..,0
,..ischaemic heart diseases (I20-I25),Males and females,5879,0,0,0,0,0,0,0,0,0,0,0,1,4,3,9,33,95,145,189,199,415,948,4924,624,869,969,827,1635,..,..,..,..,7
,,Males,2727,0,0,0,0,0,0,0,0,0,0,0,1,3,1,6,27,74,112,158,157,321,748,1972,429,484,395,280,384,..,..,..,..,7
,,Females,3152,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,6,21,33,31,42,94,200,2952,195,385,574,547,1251,..,..,..,..,0
,..acute myocardial infarction (I21-I22),Males and females,734,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,11,25,42,52,42,78,214,520,102,141,146,71,60,..,..,..,..,0
,,Males,418,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,8,19,33,42,34,64,173,245,66,70,67,25,17,..,..,..,..,0
,,Females,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9,10,8,14,41,275,36,71,79,46,43,..,..,..,..,0
,"..other cardiovascular diseases (except rheumatic heart and valvular diseases) (I30-I33, I39-I52)",Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,..cerebrovascular diseases (I60-I69),Males and females,2816,1,1,0,0,0,2,1,0,0,2,0,0,2,6,10,17,27,62,66,111,176,415,2397,297,444,506,456,694,..,..,..,..,2
,,Males,1022,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,13,21,45,44,74,109,272,749,147,217,147,116,122,..,..,..,..,1
,,Females,1794,1,1,0,0,0,2,1,0,0,2,0,0,1,3,3,4,6,17,22,37,67,143,1648,150,227,359,340,572,..,..,..,..,1
,"Diseases of the respiratory system (J00-J99, U07)",Males and females,579,2,0,0,0,0,2,0,0,0,2,0,5,5,8,9,34,70,131,51,51,54,287,277,72,69,60,39,37,..,..,..,..,13
,,Males,417,1,0,0,0,0,1,0,0,0,1,0,4,5,7,7,28,59,110,37,38,43,228,179,55,48,41,21,14,..,..,..,..,9
,,Females,162,1,0,0,0,0,1,0,0,0,1,0,1,0,1,2,6,11,21,14,13,11,59,98,17,21,19,18,23,..,..,..,..,4
,..COVID-19 (U07),Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,..influenza (J10-J11),Males and females,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,..,..,..,..,0
,,Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,0
,,Females,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,..,..,..,..,0
,..pneumonia (J12-J18),Males and females,321,2,0,0,0,0,2,0,0,0,2,0,4,5,7,7,29,57,109,43,32,30,214,95,24,21,11,15,24,..,..,..,..,10
,,Males,230,1,0,0,0,0,1,0,0,0,1,0,3,5,6,5,24,47,90,29,24,26,169,54,21,12,7,7,7,..,..,..,..,6
,,Females,91,1,0,0,0,0,1,0,0,0,1,0,1,0,1,2,5,10,19,14,8,4,45,41,3,9,4,8,17,..,..,..,..,4
,..chronic lower respiratory diseases (J40-J47),Males and females,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,8,3,10,19,40,153,41,38,40,22,12,..,..,..,..,0
